Talker,Dialect,Target,Repetition,duration,F1,F2,F1_lob,F2_lob,Height,Backness
AT1,Mid-Atlantic,frogs,1,0.172,640.0,1194.0,1.166487291330332,-0.6843122972435722,-1.166487291330332,0.6843122972435722
AT1,Mid-Atlantic,frogs,2,0.149,614.0,1228.0,0.97650904791009,-0.6132420624782986,-0.97650904791009,0.6132420624782986
AT1,Mid-Atlantic,frogs,3,0.184,623.0,1173.0,1.0422707475555584,-0.7282086187162412,-1.0422707475555584,0.7282086187162412
AT1,Mid-Atlantic,had,1,0.229,669.0,1673.0,1.3783861012990635,0.31694189253778277,-1.3783861012990635,-0.31694189253778277
AT1,Mid-Atlantic,had,2,0.216,678.0,1751.0,1.4441478009445317,0.4799853722934105,-1.4441478009445317,-0.4799853722934105
AT1,Mid-Atlantic,had,3,0.217,678.0,1751.0,1.4441478009445317,0.4799853722934105,-1.4441478009445317,-0.4799853722934105
AT1,Mid-Atlantic,had,4,0.255,648.0,1688.0,1.2249421354596373,0.3482964078754035,-1.2249421354596373,-0.3482964078754035
AT1,Mid-Atlantic,had,5,0.232,657.0,1709.0,1.2907038351051054,0.3921927293480725,-1.2907038351051054,-0.3921927293480725
AT1,Mid-Atlantic,hayed,1,0.237,343.0,2353.0,-1.0036487969701242,1.7383465878432554,1.0036487969701242,-1.7383465878432554
AT1,Mid-Atlantic,hayed,2,0.224,375.0,2167.0,-0.7698294204529034,1.3495505976567586,0.7698294204529034,-1.3495505976567586
AT1,Mid-Atlantic,hayed,3,0.237,389.0,2116.0,-0.6675334432266192,1.242945245508848,0.6675334432266192,-1.242945245508848
AT1,Mid-Atlantic,hayed,4,0.221,408.0,2225.0,-0.5287031884195194,1.4707880569622251,0.5287031884195194,-1.4707880569622251
AT1,Mid-Atlantic,hayed,5,0.229,359.0,2268.0,-0.8867391087115137,1.5606710009300713,0.8867391087115137,-1.5606710009300713
AT1,Mid-Atlantic,head,1,0.154,508.0,1817.0,0.20198236319679588,0.6179452397789417,-0.20198236319679588,-0.6179452397789417
AT1,Mid-Atlantic,head,2,0.122,534.0,1795.0,0.39196060661703785,0.5719586172837646,-0.39196060661703785,-0.5719586172837646
AT1,Mid-Atlantic,head,3,0.149,528.0,1787.0,0.3481194735200589,0.5552362091037002,-0.3481194735200589,-0.5552362091037002
AT1,Mid-Atlantic,head,4,0.15,556.0,1894.0,0.5527114279726272,0.7788984185120613,-0.5527114279726272,-0.7788984185120613
AT1,Mid-Atlantic,head,5,0.143,526.0,1963.0,0.3335057624877326,0.9231291890651167,-0.3335057624877326,-0.9231291890651167
AT1,Mid-Atlantic,heed,1,0.208,283.0,2265.0,-1.4420601279399132,1.5544000978625472,1.4420601279399132,-1.5544000978625472
AT1,Mid-Atlantic,heed,2,0.212,268.0,2237.0,-1.5516629606823606,1.4958716692323217,1.5516629606823606,-1.4958716692323217
AT1,Mid-Atlantic,heed,3,0.227,267.0,2269.0,-1.5589698161985237,1.5627613019525795,1.5589698161985237,-1.5627613019525795
AT1,Mid-Atlantic,heed,4,0.222,265.0,2443.0,-1.57358352723085,1.9264736798689797,1.57358352723085,-1.9264736798689797
AT1,Mid-Atlantic,heed,5,0.212,275.0,2279.0,-1.5005149720692186,1.58366431217766,1.5005149720692186,-1.58366431217766
AT1,Mid-Atlantic,hid,1,0.126,416.0,1914.0,-0.4702483442902141,0.8207044389622223,0.4702483442902141,-0.8207044389622223
AT1,Mid-Atlantic,hid,2,0.125,387.0,2056.0,-0.6821471542589456,1.1175271841583652,0.6821471542589456,-1.1175271841583652
AT1,Mid-Atlantic,hid,3,0.136,389.0,2043.0,-0.6675334432266192,1.0903532708657606,0.6675334432266192,-1.0903532708657606
AT1,Mid-Atlantic,hid,4,0.144,385.0,2001.0,-0.6967608652912718,1.0025606279204224,0.6967608652912718,-1.0025606279204224
